Reservoir_name,Basin,subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Bhima\Ujjani Reservoir,Krishna Basin,NA,CWC,18.20876823,75.0103563,25-06-2024,2024,6,496.83,1.517,NA,NA
Bisalpur,Ganga Basin,NA,CWC,25.9246602,75.453854,07-06-2024,2024,6,315.5,1.076,0.31521,310.12
Bisalpur,Ganga Basin,NA,CWC,25.9246602,75.453854,17-06-2024,2024,6,315.5,1.076,0.29891,309.91
Bisalpur,Ganga Basin,NA,CWC,25.9246602,75.453854,18-06-2024,2024,6,315.5,1.076,0.29736,309.89
Bisalpur,Ganga Basin,NA,CWC,25.9246602,75.453854,23-06-2024,2024,6,315.5,1.076,0.28889,309.78
Bisalpur,Ganga Basin,NA,CWC,25.9246602,75.453854,26-06-2024,2024,6,315.5,1.076,0.28502,309.73
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.87800273,71.14656594,01-06-2024,2024,6,64.62,0.071,0.01402,60.38
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.87800273,71.14656594,10-06-2024,2024,6,64.62,0.071,NA,NA
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.87800273,71.14656594,12-06-2024,2024,6,64.62,0.071,NA,NA
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.87800273,71.14656594,23-06-2024,2024,6,64.62,0.071,NA,NA
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.87800273,71.14656594,27-06-2024,2024,6,64.62,0.071,0.00886,59.43
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.87800273,71.14656594,28-06-2024,2024,6,64.62,0.071,NA,NA
CHANDAN DAM,Ganga Basin,NA,CWC,24.6780574,86.917022,01-06-2024,2024,6,152.39,0.136,0.02108,136.093
CHANDAN DAM,Ganga Basin,NA,CWC,24.6780574,86.917022,09-06-2024,2024,6,152.39,0.136,NA,NA
CHANDAN DAM,Ganga Basin,NA,CWC,24.6780574,86.917022,12-06-2024,2024,6,152.39,0.136,NA,NA
CHANDAN DAM,Ganga Basin,NA,CWC,24.6780574,86.917022,22-06-2024,2024,6,152.39,0.136,NA,NA
CHANDAN DAM,Ganga Basin,NA,CWC,24.6780574,86.917022,24-06-2024,2024,6,152.39,0.136,NA,NA
CHANDAN DAM,Ganga Basin,NA,CWC,24.6780574,86.917022,26-06-2024,2024,6,152.39,0.136,NA,NA
CHANDAN DAM,Ganga Basin,NA,CWC,24.6780574,86.917022,29-06-2024,2024,6,152.39,0.136,NA,NA
CHANDAN DAM,Ganga Basin,NA,CWC,24.6780574,86.917022,30-06-2024,2024,6,152.39,0.136,NA,NA
CHASKAMAN,Krishna Basin,NA,CWC,18.2611111,73.7875,01-06-2024,2024,6,649.53,0.125,0.01525,631.18
CHASKAMAN,Krishna Basin,NA,CWC,18.2611111,73.7875,05-06-2024,2024,6,649.53,0.125,0.01504,631.14
CHASKAMAN,Krishna Basin,NA,CWC,18.2611111,73.7875,06-06-2024,2024,6,649.53,0.125,0.01498,631.13
CHASKAMAN,Krishna Basin,NA,CWC,18.2611111,73.7875,07-06-2024,2024,6,649.53,0.125,0.00149,631.12
CHASKAMAN,Krishna Basin,NA,CWC,18.2611111,73.7875,14-06-2024,2024,6,649.53,0.125,0.0151,631.15
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
