Reservoir_name,Basin,Agency_name,Lat,Long,Full_reservoir_level,Live_capacity_FRL
Rengali Reservoir,Brahmani and Baitarni Basin,CWC,21.37482631,84.98933328,123.5,3.432
SATHANUR,East flowing rivers between Pennar and Kanyakumari Basin,CWC,12.1836111,78.8502778,222.2,0.207
SIRSI,Ganga Basin,CWC,24.8269444,82.4938889,217.93,0.19
SURYA,West flowing rivers from Tapi to Tadri Basin,CWC,19.9208333,73.0555556,118.6,0.276
Sabarmati Reservoir,Sabarmati Basin,CWC,24.02898674,72.91530995,189.59,0.735
Salandi Reservoir,Brahmani and Baitarni Basin,CWC,21.32763959,86.28440724,82.3,0.558
Sanjay Sarovar (Upper Wainganga),Godavari Basin,CWC,22.35381177,79.60332911,519.38,0.508
Sapua,Mahanadi Basin,CWC,20.58898286,85.286984,168.5,0.006
Sardar Sarovar,Narmada Basin,CWC,21.86921399,73.90418486,138.68,5.76
Sharda Sagar,Ganga Basin,CWC,28.7811109,80.0183861,190.5,0.33
Shetrunji Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,21.43521754,71.74916361,55.53,0.3
Sholayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.32047051,76.90271502,1002.79,0.143
Singur,Godavari Basin,CWC,17.7575285,77.9149039,523.6,0.822
Somasila Reservoir,Pennar Basin,CWC,14.46105546,79.18163407,100.58,1.994
Sriram Sagar,Godavari Basin,CWC,18.95689759,78.28986913,332.54,2.3
Srisailam Reservoir,Krishna Basin,CWC,16.0055082,78.34173056,269.75,6.013
Sukhi Tank,Narmada Basin,CWC,22.45124369,73.88506045,147.82,0.167
Supa Reservoir,West flowing rivers from Tapi to Tadri Basin,CWC,15.2579957,74.47101416,564.0,4.12
TANDULA,Mahanadi Basin,CWC,20.73,81.218,332.2,0.312
TILLARI,West flowing rivers from Tapi to Tadri Basin,CWC,15.7583333,74.0916667,113.2,0.447
Tattihalla,West flowing rivers from Tapi to Tadri Basin,CWC,15.1322184,74.7888706,468.3,0.249
Tawa Reservoir,Narmada Basin,CWC,22.50906232,77.9962712,355.4,1.944
Tehri Reservoir,Ganga Basin,CWC,30.43921006,78.45546181,830.0,2.615
Tenughat Reservoir,Ganga Basin,CWC,23.72685714,85.79171034,269.14,0.821
Thein\Ranjit Sagar,Indus (Up to border) Basin,CWC,32.48447018,75.76540312,527.91,2.344
Thokarwadi,Krishna Basin,CWC,18.9048356,73.4848537,667.14,0.353
Tilaiya Reservoir,Ganga Basin,CWC,24.33826227,85.43542012,368.81,0.142
Tungabhadra Reservoir,Krishna Basin,CWC,15.21986396,76.27456493,497.74,3.276
UMRONG,Brahmaputra Basin,CWC,25.528556,92.71274,609.6,0.159
Ukai Reservoir,Tapi Basin,CWC,21.35061945,73.80721399,105.16,6.615
Und I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.38438192,70.40304333,98.0,0.066
Upper Indrawati Reservoir,Godavari Basin,CWC,19.23634733,82.82597886,642.0,1.456
Upper Kolab Reservoir,Godavari Basin,CWC,18.73049171,82.67554297,858.0,0.935
Upper Tapi\Hatnur Reservoir,Tapi Basin,CWC,21.0927119,76.01484897,214.0,0.255
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,CWC,19.82196378,73.54032901,603.5,0.331
Upper Wardha Reservoir,Godavari Basin,CWC,21.31909859,78.08561676,342.5,0.564
Urmodi,Krishna Basin,CWC,17.67007656,73.89101773,696.0,0.273
VEER DAM,Krishna Basin,CWC,18.1180556,74.0986111,579.85,0.266
Vagai Reservoir,East flowing rivers between Pennar and Kanyakumari Basin,CWC,10.05277902,77.56976664,279.2,0.172
Vanivilasa Sagar,Krishna Basin,CWC,13.84343578,76.43549483,652.28,0.802
Watrak,Sabarmati Basin,CWC,23.32979836,73.45504616,136.25,0.154
Yeldari Reservoir,Godavari Basin,CWC,19.75202254,76.71374568,461.77,0.809
Yeleru,East flowing rivers between Mahanadi and Pennar Basin,CWC,17.30370292,82.0514406,86.56,0.508
